Date,Closing price   XAU/USD (Troy Ounce=31.1035 grams),Change Price,Change %,Indian Rs (85.53),UAE Dirham AED ( 3.67), Sri Lankan Rupee LKR (295.40),South African Rand R(19.10),Singapore Dollar sD  (1.34),Pakistani Rupee R(279.66),Japanese Yen (145.53),Chinese Yuan (7.72), Canadian Dollar (1.42), Australian Dollar AUD(1.64),Malaysian Ringgit RM (4.44),Russion ruble R(84.44)
"Oct 12, 2022","1,670.30",-8.40,-0.500387204,142860.759,6130.001,493406.62,31902.73,2238.202,467116.098,243078.759,12894.716,2371.826,2739.292,7416.132,141040.132
"Oct 11, 2022","1,678.70",11.40,0.683740179,143579.211,6160.829,495887.98,32063.17,2249.458,469465.242,244301.211,12959.564,2383.754,2753.068,7453.428,141749.428
"Oct 10, 2022","1,667.30",-33.20,-1.952366951,142604.169,6118.991,492520.42,31845.43,2234.182,466277.118,242642.169,12871.556,2367.566,2734.372,7402.812,140786.812
"Oct 7, 2022","1,700.50",-11.20,-0.654320266,145443.765,6240.835,502327.7,32479.55,2278.67,475561.83,247473.765,13127.86,2414.71,2788.82,7550.22,143590.22
"Oct 6, 2022","1,711.70",0.30,0.017529508,146401.701,6281.939,505636.18,32693.47,2293.678,478694.022,249103.701,13214.324,2430.614,2807.188,7599.948,144535.948
"Oct 5, 2022","1,711.40",-9.70,-0.563593051,146376.042,6280.838,505547.56,32687.74,2293.276,478610.124,249060.042,13212.008,2430.188,2806.696,7598.616,144510.616
"Oct 4, 2022","1,721.10",28.20,1.665780613,147205.683,6316.437,508412.94,32873.01,2306.274,481322.826,250471.683,13286.892,2443.962,2822.604,7641.684,145329.684
"Oct 3, 2022","1,692.90",30.50,1.834696824,144793.737,6212.943,500082.66,32334.39,2268.486,473436.414,246367.737,13069.188,2403.918,2776.356,7516.476,142948.476
"Sep 30, 2022","1,662.40",3.90,0.235152246,142185.072,6101.008,491072.96,31751.84,2227.616,464906.784,241929.072,12833.728,2360.608,2726.336,7381.056,140373.056
"Sep 29, 2022","1,658.50",-1.90,-0.114430258,141851.505,6086.695,489920.9,31677.35,2222.39,463816.11,241361.505,12803.62,2355.07,2719.94,7363.74,140043.74
"Sep 28, 2022","1,660.40",33.70,2.071678859,142014.012,6093.668,490482.16,31713.64,2224.936,464347.464,241638.012,12818.288,2357.768,2723.056,7372.176,140204.176
"Sep 27, 2022","1,626.70",3.40,0.209449886,139131.651,5969.989,480527.18,31069.97,2179.778,454922.922,236733.651,12558.124,2309.914,2667.788,7222.548,137358.548
"Sep 26, 2022","1,623.30",-22.00,-1.337142163,138840.849,5957.511,479522.82,31005.03,2175.222,453972.078,236238.849,12531.876,2305.086,2662.212,7207.452,137071.452
"Sep 23, 2022","1,645.30",-25.50,-1.526214987,140722.509,6038.251,486021.62,31425.23,2204.702,460124.598,239440.509,12701.716,2336.326,2698.292,7305.132,138929.132
"Sep 22, 2022","1,670.80",6.20,0.372461853,142903.524,6131.836,493554.32,31912.28,2238.872,467255.928,243151.524,12898.576,2372.536,2740.112,7418.352,141082.352
"Sep 21, 2022","1,664.60",4.90,0.295234078,142373.238,6109.082,491722.84,31793.86,2230.564,465522.036,242249.238,12850.712,2363.732,2729.944,7390.824,140558.824
"Sep 20, 2022","1,659.70",-6.50,-0.390109231,141954.141,6091.099,490275.38,31700.27,2223.998,464151.702,241536.141,12812.884,2356.774,2721.908,7369.068,140145.068
